Irradiance[W/m^2],Temperature[deg C],Humidity[%],Wind Speed[m/s]
189.695,12.34,21.71,1.525
199.482,12.3,21.4,1.375
200.482,12.28,21.46,1.3
209.19,12.29,21.19,1.375
218.183,12.29,20.77,0.762
224.801,12.3,20.89,1.35
233.026,12.31,20.01,1.575
239.078,12.4,19.68,1.125
246.091,12.47,19.75,1.113
248.819,12.53,19.13,1.25
239.837,12.62,18.86,1.025
223.067,12.73,19.25,1.338
219.626,12.77,19.3,1.225
215.97,12.85,19.55,1.063
213.107,12.92,19.8,1.338
213.925,12.92,19.71,1.4
211.051,12.87,18.97,1.7
206.833,12.84,18.98,1.725
201.743,12.83,19.39,1.7
194.131,12.85,19.54,1.788
191.104,12.84,19.64,1.213
192.27,12.82,19.22,1.513
194.16,12.82,19.89,1.013
194.212,12.82,19.57,1.2
191.429,12.81,19.37,1.263
182.262,12.88,19.11,1.388
164.447,12.93,19.33,1.288
158.82,12.92,19.57,1.218
147.92,12.87,19.63,0.9
141.14,12.85,20.13,1.075
135.998,12.84,19.89,0.435
130.851,12.83,20.12,0.302
126.424,12.82,20.54,0.607
123.478,12.77,20.24,0.63
120.759,12.68,20.44,0.887
120.093,12.64,20.82,0.53
121.219,12.63,20.87,0
122.813,12.61,20.92,0.105
123.127,12.61,21.19,0.855
123.832,12.58,20.98,0.185
124.948,12.56,21.17,0.19
125.499,12.53,21.19,0.587
124.006,12.52,21.2,1.013
121.467,12.49,21.43,0.943
117.936,12.4,21.78,0.56
114.171,12.36,22.52,0.56
111.409,12.32,22.38,0.767
109.34,12.29,22.73,0.53
108.032,12.27,22.89,0.483
106.88,12.23,22.93,0.317
105.92,12.18,22.85,0.787
105.242,12.13,22.79,0.07
105.073,12.09,22.72,0.223
105.133,12.06,22.89,0
104.638,12.04,23.19,0
103.414,12.03,22.57,0
101.631,12.02,22.81,0.057
99.2007,12.01,23.24,0.385
96.3,11.98,23.1,0.825
93.4356,11.98,23.27,0.888
91.2308,11.95,23.81,0.675
90.0243,11.93,24.16,0.802
88.9664,11.88,24.38,0.925
87.051,11.84,24.47,0.925
84.3934,11.81,24.5,0.837
81.6992,11.8,24.56,0.837
79.3793,11.77,24.82,0.547
77.5244,11.76,24.88,0.337
76.0487,11.73,25.01,0.302
74.5417,11.69,25.13,0.24
72.6565,11.61,24.93,1.09
70.4569,11.53,24.79,0.965
68.3655,11.48,25.17,0.95
67.0328,11.44,25.1,1.025
66.5028,11.4,24.54,1.35
66.3487,11.34,25.07,1.188
65.9747,11.29,25.04,1.138
65.1366,11.26,24.74,1.225
63.8141,11.23,24.92,1.175
62.3184,11.21,25.17,1.188
60.9258,11.17,24.98,1.35
59.8484,11.15,24.75,1.4
58.9873,11.14,24.91,1.338
58.3215,11.1,25.24,1.113
57.7013,11.04,25.61,0.875
57.0016,11,25.24,1.475
56.1638,10.98,25.38,1.488
55.0703,10.96,25.41,1.3
53.7006,10.93,25.56,1.125
52.2807,10.9,25.51,1.438
51.027,10.89,25.56,1.1
50.0686,10.87,25.66,1.113
49.3192,10.83,25.67,0.95
48.4718,10.8,25.98,0.852
47.2852,10.78,25.89,1.113
45.637,10.75,25.9,0.95
43.5036,10.72,26.24,1.05
40.9949,10.68,26.5,1.2
38.3044,10.65,26.56,1.4
35.7587,10.56,26.69,1.413
33.4457,10.5,26.7,1.288
31.3819,10.47,26.81,1.288
29.5371,10.44,26.96,1.338
27.9315,10.4,27.17,1.35
26.5524,10.39,27.35,1.25
25.4213,10.38,27.4,1.238
24.4093,10.39,27.56,1.138
23.5102,10.4,27.7,1.25
22.6483,10.42,27.68,1.363
21.8708,10.44,27.6,1.45
21.0571,10.45,27.63,1.463
20.1944,10.45,27.66,1.538
19.2918,10.45,27.54,1.538
18.3072,10.43,27.64,1.525
17.272,10.43,27.7,1.55
16.2803,10.41,27.76,1.713
15.3801,10.37,27.87,1.688
14.5449,10.26,27.85,1.763
13.7361,10.21,27.9,1.613
12.9685,10.19,27.87,1.575
12.1727,10.17,27.83,1.438
11.4305,10.14,28.01,1.438
10.6515,10.09,28.19,1.338
9.97449,10,28.37,1.425
9.34007,9.9,28.4,1.35
8.71572,9.79,28.01,1.25
8.16894,9.58,27.9,0.888
7.60857,9.28,27.83,1.25
7.01941,9.05,27.75,1.513
6.21335,8.9,27.97,1.588
5.27629,8.89,28.03,1.563
4.38338,8.88,28.02,1.413
3.56916,8.87,28.41,1.513
2.78689,8.88,28.44,1.388
2.18544,8.88,28.93,0.45
1.73535,8.92,29.63,0.057
1.45222,8.99,29.56,0.888
3.00196,2.933,36.58,1.3
3.26168,2.963,36.37,1.325
3.58985,3.057,36.05,1.5
4.00514,3.14,35.79,1.463
4.47848,3.265,35.59,1.338
4.8764,3.238,35.76,1.225
5.33255,3.145,36.34,1.375
5.77933,3.142,36.69,2.038
6.22208,3.158,36.75,1.725
6.65775,3.263,36.39,1.85
7.03705,3.357,35.92,1.575
7.50325,3.402,35.59,1.525
8.00131,3.434,35.45,1.325
8.54899,3.469,35.35,1.1
9.1039,3.555,34.93,0.712
9.79092,3.619,34.7,0.827
10.6699,3.652,35.01,0.925
11.3503,3.653,35.1,1.25
11.5232,3.629,35.33,1.363
11.8101,3.54,35.61,1.25
12.3548,3.519,35.31,1.35
12.7696,3.573,34.84,1.3
13.2918,3.616,34.59,1.05
13.7777,3.669,34.5,0.875
14.4917,3.767,34.54,1.013
15.368,3.837,34.54,0.938
15.9713,3.887,34.55,0.988
16.6788,3.898,34.76,1.3
17.8943,3.913,34.83,0.988
20.0528,3.934,34.85,1.263
22.9388,3.971,34.94,1.238
25.6007,3.977,34.78,1.225
32.0836,4,34.62,1.175
34.3378,4.064,34.38,1.2
37.7282,4.141,34.09,0.913
40.9877,4.274,33.77,0.953
39.2241,4.343,34.27,1.025
36.6414,4.344,34.38,1.275
37.8279,4.247,34.54,1.2
36.1026,4.205,34.25,1.125
40.2404,4.308,33.78,1.175
44.7231,4.438,33.48,0.925
37.565,4.6,33.07,1.063
33.2291,4.717,33.05,1.188
33.2034,4.806,33.32,1.088
34.3037,4.754,33.99,1.475
39.696,4.387,35.81,1.5
46.8847,3.871,36.76,1.475
41.1213,3.591,37.28,1.288
36.9526,3.475,36.99,1.313
37.6439,3.547,36.47,1.375
35.3061,3.727,35.63,0.888
36.0863,3.903,35.08,1.063
37.9949,4.066,34.76,0.938
38.378,4.12,34.71,0.95
34.4234,4.155,34.87,0.913
34.0838,4.155,35.2,0.903
34.9845,4.157,35.27,0.865
34.6043,4.179,35.14,1.1
35.8531,4.145,35.57,1.963
39.6926,3.582,37.49,1.925
46.1137,3.052,38.85,1.538
49.2033,2.878,38.92,1.8
45.6498,2.769,38.47,1.713
44.24,2.838,37.6,1.088
45.4721,3.114,36.79,1.175
46.7223,3.355,36.66,1.163
47.8503,3.643,36.04,1.313
59.696,3.864,35.71,1.525
94.9525,3.906,36.38,1.438
80.4636,3.817,37.33,1.4
81.8992,3.775,36.53,1.563
101.203,3.894,35.85,1.763
97.9793,4.001,35.93,1.825
100.06,4.094,35.35,1.613
109.879,4.204,35.08,1.613
153.652,4.347,35.29,1.188
189.911,4.531,34.47,1.55
183.343,4.757,34.25,1.588
165.517,4.906,34.79,2.125
154.382,4.925,34.42,2.113
186.994,4.906,34.52,2.425
186.094,4.846,35.35,1.8
196.948,4.729,35.03,1.65
179.435,4.688,34.9,1.4
188.529,4.653,35.35,1.438
189.867,4.647,35.27,1.413
180.704,4.699,34.46,1.2
173.358,4.866,34.23,1.563
180.653,5.06,34.01,1.638
202.215,5.205,33.86,1.475
207.685,5.382,33.5,1.775
233.124,5.507,32.91,1.863
248.883,5.655,32.62,1.813
224.464,5.824,32.52,1.938
205.904,5.974,31.72,1.713
190.07,6.118,31.92,1.24
194.936,6.184,32,1.15
242.791,6.224,31.71,1.3
257.517,6.318,31.9,1.213
269.101,6.44,31.42,1.3
234.822,6.602,31.35,1.238
281.699,6.75,31.09,1.713
270.634,6.919,30.52,2.038
283.738,6.986,30.54,2.275
287.043,6.873,31.91,2.088
290.148,6.727,32.03,1.775
301.754,6.68,31.89,1.02
305.583,6.804,31.37,0.295
313.144,7.035,30.56,0
320.876,7.35,30.83,0.14
332.044,7.7,31.05,0
329.382,7.963,30.67,0
335.427,8.09,30.7,0.377
338.407,8.22,30.71,0.188
306.665,8.3,30.38,1.14
266.933,8.27,29.84,1.313
268.626,8.17,29.16,0.365
260.278,8.12,29.32,0.72
223.867,8.1,29.29,1.163
196.428,8.08,28.73,1.255
185.458,8.06,29.43,1.125
175.516,8.05,30.23,0.682
184.963,8.05,29.22,0.978
186.292,8.08,29.15,0.833
169.796,8.09,29.71,0.3
163.54,8.08,29.74,0.74
173.764,8.05,30.05,0.502
165.657,8.03,29.89,0.327
174.014,8.01,28.7,0.292
180.31,8,28.27,0.045
191.292,7.993,28.62,0
203.798,8.02,28.26,0
200.357,8.11,28.2,0.07
199.943,8.26,31.25,0.46
188.747,8.3,31.75,0.927
169.089,8.18,31.96,1.238
172.275,7.92,32.48,1.513
210.824,7.704,32.57,1.525
231.524,7.579,32.38,2.038
250.167,7.438,33.13,1.7
246.326,7.224,33.75,0.945
225.281,7.05,33.78,0.645
218.081,6.985,33.66,0.07
239.679,6.994,32.68,0
251.292,7.098,31.35,0
328.747,7.261,31.77,0
355.169,7.524,29.65,0
377.476,7.949,27.49,0
379.418,8.35,27.24,0.282
312.802,8.74,25.94,0.14
357.019,9.24,25.63,0.185
404.216,9.61,25.3,0
405.85,9.91,25.75,0.14
387.575,10.14,25.2,0.203
276.086,10.34,25.22,0.355
323.465,10.35,26.04,0
331.244,10.34,25.66,0
358.926,10.36,24.95,0.022
389.959,10.42,25.81,0.367
410.874,10.47,25.37,0.185
421.55,10.76,25.1,0.677
419.609,10.9,25.19,0.727
408.341,10.74,24.62,1.75
370.945,10.75,23.92,1.475
430.188,10.94,24.14,1.34
430.703,11.15,24.87,1.01
408.623,11.21,24.46,0.792
416.829,11.38,24.79,1.288
427.425,11.47,24.15,1.525
430.157,11.45,24.5,1.095
393.437,11.67,24.89,0.87
414.307,11.91,24.6,1.675
397.716,11.97,24.22,1.225
404.152,11.79,24.02,0.532
441.534,11.82,24.09,1.338
453.971,11.82,24.63,1.875
418.189,11.68,24.16,1.738
402.544,11.88,24.39,1.11
434.668,12.05,25.32,1.288
474.608,12.15,25.02,1.563
467.693,12.12,24.23,1.028
445.761,12.27,25.26,1.313
433.963,12.53,24.87,1.163
419.407,12.74,24.38,1.353
424.947,12.54,24.68,1.3
438.177,12.35,24.14,0.62
475.423,12.53,24.58,0.048
458.351,12.73,24.23,0.93
465.36,12.89,23.14,0.117
418.453,13.04,23.21,0.98
482.076,12.74,23.34,0.807
517.282,12.41,23.81,1.4
524.424,12.05,23.49,1.375
508.289,11.67,23.5,1.5
515.982,11.36,23.64,1.663
522.791,11.06,23.2,0.707
522.54,11,24.03,0.42
512.937,10.91,23.5,0.96
523.143,10.61,23.73,0.75
524.058,10.48,23.64,1.268
516.266,10.52,23.24,1.775
509.318,10.54,23.39,1.5
510.192,10.38,23.77,1.108
515.661,10.22,23.63,1.513
522.543,10.29,23.78,0.913
529.031,10.36,23.14,1.47
525.55,10.25,23.14,1.525
515.217,10.16,23.23,0.508
429.604,10.15,23.1,0.8
507.35,10.32,23.87,1.335
571.609,10.53,23.84,1.788
576.366,10.62,23.4,1.54
573.228,10.65,23.64,2.313
582.583,10.65,22.87,1.775
584.197,10.67,23.08,1.363
537.056,10.68,22.65,1.9
539.926,10.67,22.38,1.025
525.004,10.74,22.66,0.4
575.264,10.99,22.69,1.975
540.923,11.16,22.41,1.215
511.009,11.31,23.64,0.78
415.836,11.51,23.65,1.75
424.75,11.68,22.79,0.502
412.865,11.87,22.64,1.268
441.102,12.16,22.75,1.475
457.826,12.43,23.44,0.755
483.811,12.52,24.57,1.15
472.658,12.58,23.85,0.797
467.369,12.7,23.08,1.525
443.604,12.67,23.47,2.013
381.917,12.43,22.69,1.875
350.323,12.01,22.89,1.863
415.5,11.66,23.21,1.198
452.771,11.38,23.56,1.075
443.141,11.22,23.44,0.327
451.819,11.21,23.72,0
464.767,11.37,23.7,0.977
474.313,11.72,23.14,0.64
418.223,12.06,23.77,1.478
366.901,12.18,23.11,1.75
489.564,12.2,22.9,0.782
463.38,12.04,23.35,1.725
437.512,11.84,22.5,1.338
456.858,11.81,22.56,1.663
433.367,11.75,23.07,1.3
475.39,11.72,23.05,2.075
476.437,11.8,23.1,1.825
410.051,12.16,23.04,2.438
455.772,12.43,23.61,1.455
487.381,12.58,23.92,0.953
437.429,12.62,23.42,1.9
462.474,12.78,23.59,1.4
414.307,13.03,24.16,1.753
268.656,13.07,23.98,1.588
269.645,12.76,23.9,2.025
282.498,12.32,24.3,1.7
324.031,12.07,23.82,1.275
272.387,12,23.69,0.852
285.544,12.06,24.67,0.842
285.168,12.14,24.22,1.208
305.304,12.13,24.81,1.45
295.277,12.09,24.84,1.775
246.251,11.98,25.07,1.813
254.765,11.94,24.87,1.118
247.969,11.87,25.18,0.8
233.986,11.8,25.82,1.45
230.118,11.84,25.83,0.625
209.223,11.88,25.55,0.495
271.033,11.8,25.59,0.61
234.539,11.78,25.27,1.55
292.256,11.81,25.3,1.788
429.04,11.75,25.76,1.45
444.318,11.63,25.58,1.838
448.151,11.74,25.05,2.088
475.76,12.07,24.75,2
416.99,12.31,25.09,1.538
309.025,12.4,25.92,1.925
250.391,12.16,25.21,2.725
274.333,11.86,25.08,2.975
348.115,11.61,25.25,2.85
338.247,11.68,25.85,2.65
315.983,11.89,25.46,2.85
290.14,11.98,25.76,2.675
281.347,12,25.78,2.613
357.674,11.97,26.12,2.65
330.266,11.92,26.01,2.513
323.735,11.92,25.97,2.625
301.719,11.96,26.11,2.025
276.825,11.96,25.87,2.275
280.429,11.9,26,1.2
314.436,11.79,26.13,1.463
284.376,11.54,25.89,2.438
276.322,11.27,25.93,2.05
342.961,11.21,25.94,2.1
326.534,11.08,25.74,2.35
439.059,10.98,25.56,2.688
300.971,11,25.78,2.163
332.805,11.26,25.48,2.475
355.786,11.47,26.19,2.075
258.516,11.51,26.42,1.975
217.36,11.46,25.81,2.3
211.99,11.24,25.74,2.125
258.64,11.19,26.02,2.013
334.703,11.19,26.2,1.875
328.696,11.19,26.49,1.463
407.109,11.18,26.24,1.975
456.88,11.23,26.03,1.913
485.88,11.42,25.83,2.338
429.424,11.55,25.85,2.1
421.226,11.59,25.7,1.95
416.979,11.69,24.94,2.138
412.547,11.84,25.19,0.73
403.529,12.05,25.42,0.175
413.849,12.14,25.28,0.292
249.744,12.39,25.8,0.685
224.549,12.57,25.14,1.663
311.266,12.68,25.12,1.9
526.579,12.73,25.69,2
423.904,12.82,26.18,2.113
363.701,12.87,25.97,1.888
340.139,12.86,25.7,1.888
273.723,12.85,25.72,1.59
240.013,12.8,26.58,1.788
255.856,12.76,26.43,1.988
272.288,12.67,26.36,0.545
248.629,12.5,26.72,1.813
213.428,12.33,26.5,1.738
208.262,12.14,26.58,1.4
220.617,11.98,26.63,1.218
227.413,11.86,26.9,1.775
218.777,11.82,27.12,1.85
218.943,11.84,27.24,2.063
223.397,11.87,27.59,1.463
218.313,11.9,26.89,1.713
200.226,11.85,27.26,1.8
194.266,11.79,27.28,1.338
189.96,11.78,27.39,1.465
183.985,11.77,27.74,1.19
178.641,11.66,27.71,1.205
183.978,11.5,27.45,1.125
204.756,11.46,27.63,1.125
206.361,11.46,27.9,1.22
175.455,11.54,27.61,1.45
183.581,11.61,28.1,1.325
196.653,11.47,27.89,1.9
194.395,11.29,27.76,1.85
185.916,11.14,28.08,1.688
177.615,11.06,28.01,1.575
180.315,11.08,27.53,1.713
175.157,11.16,27.61,0.385
174.934,11.24,28.38,1.033
173.193,11.36,28.03,1.438
165.671,11.41,27.97,1.475
164.336,11.44,28.12,1.75
164.558,11.46,28.11,0.918
163.055,11.48,28.12,1.05
161.541,11.52,28.01,0.988
160.085,11.55,28.33,0.7
162.823,11.59,28.15,1.205
166.546,11.62,28.15,1.138
164.258,11.64,28.34,1.028
160.071,11.63,27.93,0.988
164.227,11.62,28.5,1.175
166.941,11.64,28.73,1.3
161.233,11.58,28.08,1.5
159.385,11.59,28.14,1.663
163.19,11.6,28.77,1.65
161.748,11.52,28.65,1.9
160.095,11.47,28.36,1.6
161.823,11.45,28.48,1.188
157.888,11.44,28.54,1.313
158.517,11.45,28.44,1.225
161.974,11.47,28.23,0.432
166.559,11.49,28.26,0
172.823,11.53,28.18,0.727
179.123,11.55,28.13,0.782
181.795,11.54,28.02,0.845
184.025,11.5,28.12,0.505
186.639,11.43,28.45,0.105
189.551,11.32,28.72,0.07
188.42,11.3,28.17,0
189.677,11.34,27.72,0
187.056,11.39,27.45,0
182.295,11.45,27.95,0
177.118,11.49,28.2,0
170.565,11.52,27.99,0.272
171.516,11.56,27.33,0.022
174.443,11.64,27.6,0
179.82,11.68,27.79,0
175.572,11.68,28.27,0.442
164.944,11.6,27.94,1.08
165.878,11.55,27.9,1.188
168.212,11.52,28.17,0.687
156.162,11.49,28.31,0.61
152.654,11.43,28.44,0
163.017,11.34,28.35,0.317
182.182,11.28,27.94,0.672
197.594,11.26,28.03,0.292
192.563,11.26,28.28,0.022
181.512,11.3,28.54,0
172.266,11.3,28.45,0.117
152.775,11.3,28.29,1.188
145.433,11.3,27.75,1.275
157.641,11.31,28,1.038
169.334,11.39,28.36,1.053
173.812,11.43,28.14,0.9
255.255,11.46,28.34,0.855
198.059,11.5,28.6,1.538
166.442,11.58,28.54,1.005
151.426,11.57,28.23,0.817
136.958,11.51,28.62,1.663
139.495,11.47,28.33,1.6
151.981,11.46,28.34,1.625
152.904,11.45,28.75,1.825
152.697,11.43,28.42,1.4
159.457,11.37,28.89,1.438
191.989,11.39,28.9,1.65
186.264,11.42,28.72,1.538
220.129,11.47,28.64,1.725
362.303,11.54,29.2,1.55
296.908,11.71,28.57,1.713
219.665,11.91,28.22,1.913
248.712,12.02,28.02,1.513
296.757,12.15,28.22,1.725
414.541,12.3,28.01,1.825
370.478,12.48,27.49,2.375
305.028,12.54,27.3,1.475
176.938,12.58,27.88,2.025
212.138,12.59,27.59,1.925
284.662,12.61,27.6,1.788
402.087,12.6,28.16,1.575
407.563,12.7,28.02,1.875
408.885,12.92,27.11,1.975
410.449,13.1,27.45,2.088
409.174,13.27,26.78,1.95
330.006,13.23,26.94,2.275
364.112,13.15,26.77,2.188
407.79,12.95,26.68,2.6
314.067,12.86,26.71,2.488
221.115,12.87,26.45,2.563
415.956,12.98,26.86,2.188
434.857,13.13,27.27,2.463
437.279,13.35,26.5,2.538
434.747,13.45,26.63,2.95
431.83,13.63,26.87,2.55
439.503,13.89,27.04,2.325
444.567,14.04,26.23,2.538
444.228,14.08,26.24,2.688
439.506,13.94,25.96,2.375
432.314,13.52,25.87,1.563
419.08,13.28,25.6,2.313
389.224,13.06,25.45,1.975
404.399,13.05,25.79,2.388
404.771,13.24,25.55,2.663
402.305,13.51,25.72,2.788
396.805,13.66,25.85,2.338
386.035,13.67,26.12,2.338
374.844,13.59,26.16,2.488
371.553,13.3,25.98,1.95
369.888,13.1,25.99,2.188
364.149,13.02,25.46,3.263
358.583,12.89,25.73,1.888
355.284,12.81,25.89,2.25
356.138,12.89,25.81,1.713
359.342,13.11,25.96,1.675
358.836,13.44,25.72,1.888
344.324,13.62,25.59,1.825
335.39,13.63,25.87,1.525
325.328,13.64,26.11,1.638
317.787,13.71,25.78,2.538
313.348,13.86,26.04,1.988
315.712,13.92,26.04,1.913
319.212,14.09,26.05,1.175
309.911,14.22,25.68,1.438
287.191,14.33,25.82,2.25
277.305,14.35,26,2.863
252.825,14.3,26.22,2.725
204.243,14.21,26.71,1.525
219.285,14.17,26.81,2.263
262.513,14.13,26.89,1.563
266.232,14.11,26.94,2.163
264.522,14.07,26.88,1.215
261.793,14.06,26.98,1.65
258.973,14.1,26.93,1.688
258.81,14.08,27.11,1.875
209.984,13.94,27.13,1.023
256.476,13.79,27.35,1.153
249.826,13.69,27.23,2.225
232.211,13.68,27,1.888
209.196,13.6,27.04,1.85
221.359,13.44,27.11,1.29
209.343,13.29,27.14,1.488
198.688,13.19,26.69,0.72
164.974,13.14,26.68,1.553
168.399,12.98,26.58,1.788
180.459,12.83,26.97,2.788
177.382,12.79,27.19,2.6
172.626,12.76,27.53,2.688
167.253,12.76,27.81,2.513
163.409,12.74,27.5,2.438
161.608,12.65,27.5,1.813
154.028,12.58,27.38,1.338
140.827,12.52,27.35,1.395
149.115,12.42,27.28,1.825
152.233,12.35,27.58,1.763
147.28,12.36,27.51,1.278
143.038,12.45,27.55,1.088
140.484,12.51,27.37,0.2
137.92,12.53,27.36,1.138
135.681,12.52,27.18,0.797
134.023,12.48,27.18,1.08
132.586,12.42,27.23,1.813
130.422,12.36,27.62,2.713
127.389,12.33,25.55,2.45
124,12.37,23.09,1.008
121.088,12.5,26.82,0.223
117.509,12.53,27.35,0.238
113.751,12.52,27.18,0.747
110.358,12.46,27,1.073
106.637,12.35,26.9,1.475
102.127,12.25,27.14,1.713
96.1164,12.17,27.65,1.888
87.6152,12.1,27.63,1.338
81.4108,12.04,26.92,1.8
69.4654,12,27.59,0.163
58.4194,11.97,27.77,0.07
54.9698,11.91,27.89,0.21
45.9511,11.84,27.96,0.103
43.5079,11.77,27.96,0
42.5734,11.69,27.87,0.035
40.1188,11.57,27.9,0.542
34.2548,11.47,28.13,0.08
28.9869,11.35,28.38,0.022
27.1594,11.28,28.53,0
24.912,11.25,28.69,0
22.3407,11.19,28.82,0
19.6147,11.07,28.92,0
18.0882,10.99,29.03,0
16.8546,10.95,29.14,0
16.0863,10.9,29.29,0
15.4247,10.8,29.45,0
14.9013,10.72,29.64,0
14.4925,10.65,29.79,0
14.0045,10.62,29.87,0
13.5444,10.56,29.96,0
13.006,10.5,30.05,0
12.4914,10.47,30.28,0
11.8827,10.42,30.37,0
11.4081,10.38,30.61,0
10.9029,10.32,30.85,0
10.4725,10.22,31.03,0
10.0205,10.13,31.23,0
9.46949,10,31.2,0
9.01123,9.92,30.68,0
8.78538,9.85,30.64,0.572
8.49487,9.68,30.82,0.092
8.16707,9.48,31.19,0.447
7.9181,9.22,31.2,1.04
7.44282,8.97,31.71,0.495
6.64788,8.99,32.2,0.233
5.8939,9.1,31.88,0.092
5.33482,9.2,32.02,0.695
4.90412,9.25,31.89,0.095
4.55896,9.14,31.9,0.067
10.4089,1.416,25.96,1.175
12.0579,1.49,25.58,0.9
13.5039,1.59,25.1,0.255
14.9506,1.707,24.95,0.022
16.0288,1.79,24.91,0
16.8589,1.907,24.87,0
18.0913,2.052,24.84,0
17.9933,2.192,24.94,0
16.0542,2.295,25.01,0.392
14.6342,2.305,25.38,0.267
16.7866,2.297,25.76,0.542
20.5853,2.268,26.03,0.67
20.8304,2.262,26.14,0.165
23.0457,2.237,26.18,0.925
24.2024,2.126,26.42,0.75
21.9077,2.105,26.4,0.165
21.4726,2.156,26.5,1.188
23.9021,2.243,26.73,0.512
22.7753,2.28,26.56,0.925
26.6526,2.177,26.89,0
24.5775,2.124,27.08,0
19.4719,2.1,26.69,0.677
23.5105,2.079,26.47,0.695
30.6804,2.066,26.45,0.267
43.9574,2.057,26.45,0.645
37.2839,2.077,26.36,0.732
24.1284,2.083,26.7,0.36
22.306,2.1,27,0.105
22.105,2.207,27.22,0.117
22.4426,2.301,27.11,0.255
22.0944,2.359,26.87,0.34
22.9895,2.388,26.78,0
24.6845,2.399,26.94,0.21
28.4773,2.394,27.11,0.035
30.933,2.382,27.11,0.07
30.6273,2.484,27.53,0.667
30.1943,2.608,27.73,0.965
29.0642,2.621,27.26,0.44
27.6706,2.64,27.18,0
26.607,2.645,27.4,0.988
25.7847,2.635,27.61,0.772
25.2646,2.655,27.9,1.448
25.1036,2.717,28.27,2.275
25.2951,2.789,28.47,3.675
25.8143,2.895,28.73,3.325
26.7115,3.018,28.88,3.938
28.4588,3.15,28.46,3.675
46.7888,3.339,28.36,3.225
102.268,3.529,28.12,3.7
99.074,3.735,27.74,4
94.8584,3.861,27.31,3.425
124.635,4.005,27.07,3.788
127.697,4.139,26.63,4.325
129.13,4.294,26.5,4.412
131.409,4.374,26.2,3.85
133.95,4.399,26.32,3.525
136.626,4.403,26.23,4.275
138.789,4.472,25.77,4.537
141.595,4.592,25.62,4.512
144.333,4.667,25.79,4.2
147.178,4.79,25.51,4.725
149.872,4.93,25.23,5.775
152.538,5.142,24.85,4.775
155.45,5.275,25.02,3.825
158.237,5.339,24.71,4.287
161.375,5.349,24.94,4.025
164.017,5.309,25.03,4.138
166.874,5.285,25.16,3.875
170.001,5.289,25.38,3.875
172.799,5.321,24.97,4.55
175.434,5.361,25.01,3.825
178.471,5.391,25.14,4.462
181.508,5.389,25.13,4.362
184.331,5.386,25.25,4.513
187.236,5.384,25.11,4.65
189.708,5.391,25,4.687
192.669,5.423,24.78,4.662
195.705,5.444,24.96,4.5
198.673,5.531,24.63,4.35
201.563,5.583,24.56,3.838
204.391,5.615,24.5,4.263
207.234,5.633,24.62,3.375
209.849,5.659,24.46,4.225
212.675,5.672,24.47,3.975
215.58,5.693,24.28,4.062
218.413,5.732,24.42,3.388
221.265,5.82,24.2,3.6
223.973,5.894,24.2,3.038
226.798,5.894,24.4,3
229.595,5.912,24.15,2.9
231.995,5.923,24.12,3.438
234.64,5.956,24.02,3.55
237.407,5.983,23.99,3.513
240.094,6.002,23.79,3.213
242.878,6.031,23.72,3.65
245.958,6.034,23.76,2.863
248.777,6.071,23.98,3.075
251.661,6.109,24.03,2.55
254.823,6.161,24.1,2.788
257.632,6.209,24.05,2.513
260.584,6.28,24.21,3.175
263.564,6.427,23.88,3.363
267.323,6.486,23.62,3.563
270.704,6.542,23.35,3.575
274.131,6.6,23.27,2.563
277.294,6.652,23.59,1.453
280.428,6.735,23.34,1.415
284.266,6.819,23.09,2.113
287.868,6.861,23.15,2
289.028,6.823,22.89,2.313
293.234,6.809,23.19,3.6
296.19,6.8,23.06,2.913
296.473,6.781,23.33,1.75
297.573,6.905,23.46,1.3
300.207,7.024,23.11,0.967
306.368,7.196,22.88,1.678
307.044,7.233,22.72,2.375
303.326,7.234,22.89,3.025
304.822,7.112,23.23,3.525
299.199,7.016,23.4,3.838
308.753,6.929,23.46,4.138
323.635,6.838,23.88,3.25
326.475,6.842,23.56,3.075
331.133,6.888,23.45,2.475
336.302,6.955,23.52,1.825
328.687,6.997,23.14,2.275
332.112,7.021,23.2,2.74
335.594,7.124,23.3,0.963
331.081,7.249,23.3,1.048
335.42,7.383,23.09,1.713
341.046,7.312,22.76,1.913
339.666,7.139,22.66,2.325
345.459,7.045,23.12,2.438
358.809,7.071,22.97,1.938
363.781,7.172,22.89,2.038
359.987,7.185,23.46,1.36
354.374,7.204,23.77,4.987
346.182,7.186,24.39,4.887
360.022,7.105,24.87,4.587
371.653,7.088,24.95,5.412
375.023,7.163,24.89,4.45
383.19,7.208,25.11,4.888
385.522,7.27,25.22,5.4
384.473,7.402,25.19,4.075
370.628,7.446,25.05,4.05
366.418,7.468,24.73,5.037
372.348,7.458,23.64,5.175
380.744,7.355,23.62,2.2
381.927,7.363,24.57,2.613
388.257,7.481,25.05,3.5
388.368,7.553,25.04,5.287
390.356,7.483,25.07,4.6
381.394,7.376,24.79,3.787
378.875,7.433,24.5,1.775
396.912,7.527,24.19,2.25
404.235,7.577,23.93,1.988
407.877,7.693,23.39,1.975
407.671,7.788,23.73,2.188
405.342,7.963,23.9,2.463
403.311,8,24.07,3.063
404.592,7.901,24.26,3.925
405.613,7.832,24.54,4.35
407.012,7.845,24.17,4.175
408.667,7.8,24.29,4.85
412.719,7.75,24.85,4.2
415.458,7.765,25.09,4.212
